matchid,player,championid,ss1,ss2,role,position,win,kills,deaths,assists,totdmgdealt,magicdmgdealt,physicaldmgdealt,truedmgdealt,totdmgtaken,magicdmgtaken,physdmgtaken,truedmgtaken,totminionskilled,neutralminionskilled,ownjunglekills,enemyjunglekills
51583,3,57,3,4,DUO_SUPPORT,BOT,0,1,4,21,120956,102979,13341,4635,59955,22709,35778,1468,82,7,6,1
51594,9,57,3,4,DUO_SUPPORT,BOT,0,3,10,17,53091,39315,7797,5978,45202,20704,24032,466,52,1,1,0
51632,8,57,14,4,DUO_SUPPORT,BOT,0,1,8,10,41160,32318,4436,4406,24003,9270,14518,214,25,0,0,0
51668,7,57,3,4,DUO_SUPPORT,BOT,1,6,7,22,56302,41755,8160,6386,32565,15325,14249,2991,39,1,1,0
51681,5,57,3,4,DUO_SUPPORT,BOT,1,7,2,6,57974,51510,6398,65,12907,3957,8524,425,34,0,0,0
51700,10,57,4,14,DUO_SUPPORT,BOT,0,3,6,7,50760,42627,3995,4137,25143,9550,13736,1856,26,0,0,0
51724,6,57,4,3,DUO_SUPPORT,BOT,0,4,9,10,57687,51746,4059,1880,24900,7169,15706,2024,43,1,1,0
51728,4,57,4,14,DUO_SUPPORT,BOT,0,1,6,2,21162,19334,1227,600,13072,8261,4810,0,21,0,0,0
51734,4,57,4,3,DUO_SUPPORT,BOT,0,4,7,12,74954,70848,3032,1072,25730,11626,13265,838,36,1,0,1
51743,3,57,4,3,DUO_SUPPORT,BOT,0,4,6,7,42337,37976,4361,0,17434,3222,13915,296,22,3,3,0
51752,10,57,4,3,DUO_SUPPORT,BOT,0,0,5,2,28069,20176,4037,3855,11508,3178,7092,1238,31,0,0,0
51759,8,57,3,4,DUO_SUPPORT,BOT,0,5,8,13,79871,67336,12535,0,32061,15150,15079,1831,66,1,0,1
51761,10,57,3,4,DUO_SUPPORT,BOT,1,1,0,5,13222,11770,1399,52,4938,322,3572,1042,9,0,0,0
51765,7,57,3,4,DUO_SUPPORT,BOT,1,2,6,20,53026,30971,9282,12772,30535,8859,21236,440,41,1,0,1
51795,4,57,14,4,DUO_SUPPORT,BOT,0,10,7,11,134677,121483,11162,2031,38279,6638,29870,1770,69,3,0,3
51797,1,57,4,3,DUO_SUPPORT,BOT,0,1,11,8,40746,27753,5650,7341,31859,12680,19012,166,41,1,0,1
51812,10,57,3,4,DUO_SUPPORT,BOT,0,4,7,6,100164,97003,3126,34,21894,5818,14397,1677,63,6,1,5
51828,5,57,3,4,DUO_SUPPORT,BOT,0,3,8,17,55377,44175,7463,3738,34515,10623,23183,708,37,3,2,1
